STATE_NAME,Total_M_Loss_2006,N_Comp_2006,Total_M_Loss_2007,N_Comp_2007,Total_M_Loss_2008,N_Comp_2008,Total_M_Loss_2009,N_Comp_2009,Total_M_Loss_2010,N_Comp_2010,Total_M_Loss_2011,N_Comp_2011,Total_M_Loss_2012,N_Comp_2012,Total_M_Loss_2013,N_Comp_2013,Total_M_Loss_2014,N_Comp_2014,Total_M_Loss_2015,N_Comp_2015,Total_M_Loss_2016,N_Comp_2016
North Dakota,300000,264,220000,225,300000,320,750000,374,426133,303,587752,408,1500790,427,1446979,331,1495117,360,"998,022",368,"859,856",287
Ohio,6600000,5815,6800000,5640,6700000,7285,22400000,8663,10163291,8810,10619201,13921,9876913,7234,12351755,2014,12345292,6114,"15,280,845",6458,"20,410,854",2414
Oklahoma,1400000,1752,1000000,1557,2600000,2417,8600000,2704,3100000,2734,3660524,2639,3797584,2263,5199764,625,6240131,2027,"8,027,851",2402,"15,412,650",1283
Oregon,2900000,2774,2900000,2976,2000000,3829,5100000,4751,4200000,4253,3671495,3928,6166365,3413,6398079,876,9178386,2906,"9,630,730",3294,"13,767,261",1109
Pennsylvania,7400000,7044,7400000,6494,9300000,8703,27500000,9858,12800000,10937,12454055,10495,14301253,8763,14398601,2463,20806848,8138,"26,204,814",7927,"27,432,303",2433
Rhode Island,640000,581,600000,535,500000,749,1000000,830,1600000,911,2112805,848,1173071,731,1620972,199,1525758,582,"1,816,091",638,"1,570,612",200
South Carolina,1500000,2161,1500000,2096,2500000,2175,7200000,3439,5600000,3645,4593741,3425,5633903,3333,4839453,870,9077367,2836,"14,176,493",3099,"10,860,131",1374
South Dakota,340000,265,480000,297,600000,389,500000,421,800000,607,498387,471,592790,394,768105,145,1023368,336,"1,733,244",3386,"933,723",146
Tennessee,3900000,3201,3400000,3147,3200000,4453,6000000,5555,6800000,5772,5540995,5687,7327960,4727,7091950,1039,6453385,3909,"11,208,885",4571,"12,557,922",1814
Texas,10300000,12698,11500000,12918,14600000,17114,33600000,20841,21700000,22178,29915173,20300,30445492,17119,56534880,6762,50116593,16954,"62,976,459",18392,"77,135,765",11309
Utah,5600000,2513,2200000,1758,2000000,2253,4900000,2506,3600000,2734,2481421,2262,3006580,1868,5941062,846,6172314,1825,"6,500,856",1947,"7,304,226",1262
Vermont,220000,362,320000,366,296000,486,300000,576,800000,607,571938,597,563267,464,901275,110,1165746,382,"656,631",382,"855,007",186
Virginia,5300000,5267,5900000,5270,6480000,7033,19400000,8179,11000000,9114,11332175,9301,12111084,7812,20319530,1680,16571859,7112,"20,098,497",7534,"49,175,677",2603
Washington,4200000,4792,4700000,5612,5000000,6939,12400000,8035,9800000,8810,9572357,7667,11515862,6434,14138154,2348,14780493,6388,"27,642,344",6518,"25,728,634",2779
West Virginia,1000000,982,1000000,913,1056745,1218,2700000,1389,2600000,1519,1814270,1539,2668497,1255,1582525,262,2330137,1088,"23,346,881",1083,"2,576,787",312
Wisconsin,3200000,2897,2600000,2790,2900000,3509,4900000,2506,4900000,4253,5196383,4368,6247486,3593,6382394,788,9235027,3231,"10,101,998",3427,"10,309,552",774
Wyoming,380000,333,530000,379,400000,474,900000,505,800000,607,636685,565,613214,461,751337,147,1236741,561,"1,507,488",475,"913,941",138
Average,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,
,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,
